ID Utilisateur;Note;Commentaire;Date de publication;URL de la critique;Numéro du film;Genre
id1;4;Pas trop friand de ce genre de film vu en famille, j'avoue avoir beaucoup aimé cette histoire assez touchante ! On évolue dans un monde extraordinaire et on se laisse prendre sans en perdre une miette... Et au final, un film où on ne voit pas le temps passer !;10/01/2010;https://www.allocine;61282;Comédie, Drame
id2;5;Avatar est une vraie révolution ! Le film de James Cameron fait rentrer le cinéma dans une nouvelle ère, autant que Le chanteur de Jazz l'avait été en 1927 avec l'arrivée du son. Le film est à voir absolument, même pour ceux qui ne sont pas amateurs de ce genre de film. Visuellement c'est magnifique et les effets spéciaux sont à couper le souffle. En plus de ça, le film fait passer un beau message. Bravo à James Cameron et à son équipe qui ont su créer un tout nouveau monde.;12/03/2013;https://www.allocine;61282;Comédie, Drame
id3;5;"Avatar...comment parler de ce film tout en restant calme ??! Bluffant, époustouflant, magnifique, épique, incroyable...!! Tant de mots à la fois pour désigner ce film, indéniablement la 8ème merveille du monde, un diamant brute, un monument du 7ème art du 21ème siècle ! Lorsque je l'ai découvert au cinéma à sa sortie en 2009, le film m'a littéralement scotché sur mon siège tant le spectacle était magnifique à tous les niveaux. Depuis je me suis procuré le DVD et revu plusieurs fois et pourtant chaque visionnage est une vraie redécouverte et me renvoi la même claque, toujours avec la même profondeur émotionnelle. Je sais même pas par quoi commencé tant il y a de choses à dire sur le film et ses richesses cinématographiques. ^^Bon, on va procéder dans l'ordre, déjà l'histoire, Avatar de James Cameron, c'est l'histoire de Jake Sully, un ancien marine ayant perdu ses jambes à l'armée qui se retrouve mutée sur la planète Pandora pour contribuer au projet ""Avatar"" à la place de son frère décédé. Cette mission militaire à pour objectif de coloniser les richesses et les matériaux rares de ce nouveau monde, cependant cette planète est habitée par les Na'vi, les êtres vivants de Pandora qui nourrissent une haine ancestrale pour ces ""colonisateurs"". Ainsi Jake prend part au projet qui consistent à transférer des esprits humains dans des clones fabriqués biologiquement sur le modèle des Na'vi, les Avatar dans le but d'approcher ses créatures jusqu'au jour ou il tombe sur la belle Neytiri qui le sauve. En restant à ses côtés, Jake va alors apprendre que les intentions des siens sont pas uniquement tournées vers la science...voilà pour le pitch de départ. Déjà rien que l'idée de base de ce film est super et relève quasiment du génie tant c'est inventif ! On part sur un film qui aborde l'univers de l'armée mixé à de la science fiction en abordant le thème des guerres de conquêtes. Un scénario qui explicitement n'est pas sans nous rappeler l'histoire des colonisateurs du nouveau monde avec la découverte de l'Amérique et le peuple des Amérindiens, d'ou un air de ressemblance avec une certaine Pocahontas de Disney. En fait c'est même totalement ça, on a ici affaire à une réécriture moderne de l'histoire de la colonisation et ça c'est une super idée, qui plus est Cameron y rajoute de la SF digne des plus grands film du genre. Avec du recule on peut l'affirmer, les effets spéciaux et la maîtrise des outils informatiques dans ce film pour l'époque sont juste hallucinant et témoignent directement du progrès des avancées technologiques. Plus important encore et plus incroyable que l'intrigue, si ce film mérite d'être qualifié de chef d'oeuvre selon moi c'est parce que l'auteur à réussi à créer tout un univers, pièce par pièce sans oublier le moindre détail que ce soit la faune, la flore, les écosystèmes, mais aussi le peuple qui le compose: Les Na'vi, ces être extraterrestres/humanoïdes beaucoup plus grand que les êtres humains avec leurs pratiques, leurs propres valeurs et leurs croyances. Cameron est un vrai génie pour avoir pensé à tout ça ! Qui plus est si la comparaison avec la colonisation et les Indiens d'Amérique est très récurrente ça n'est pas un hasard car les Na'vi ressemblent beaucoup aux indiens, ils ne portent qu'un minimum de vêtements, se battent avec des lances, des arcs et des flèches, domptent la nature et vénèrent un dieu, tout ça loin de la technologie des hommes. On pourrai y voir une sorte de rejet de leur part du progrès des hommes et via la comparaison entre ces modes de vie une certaine critique de la technologie qui n'amène que malheur et destruction à la nature. Oui c'est vrai on à le droit à une bonne leçon d'écologie mais qui ici prend tous son sens et nous permet de nous rendre compte nous même des dégâts que nous faisons à notre monde. Niveau visuel....c'est juste awesmome, wonderful ! les paysages de Pandora sont un vrai régal visuel ! riches en couleurs et aux décors exotiques multiples (la jungle, les montagnes aériennes, les cascades...) là aussi J.Cameron  ne fait pas dans la demi mesure en donnant de l'importance à chaque détail de son univers si insignifiant puisse t-il paraître en développant en plus des Na'vi de multiples espèces animales et végétales qui rendent ""l'exploration"" parfumée d'aventure absolument passionnante. On prend un réel plaisir devant chaque plan, on déguste sans en perdre une miette. Niveau personnage, ils sont très bien développés et tous apportent quelque chose au récit. Jake le héros est intriguant, il suscite notre attention de part son vécu de combattant et c'est avec ses yeux qu'on découvre l'univers de Pandora. Neytiri, l'héroïne, un peu pareil, elle est essentielle dans l'apprentissage de Jake, c'est elle qui nous apprend les coutumes des Na'vi et leur mode de vie. Bien sur on aura encore affaire à [spoiler] une romance entre elle et Jake mais celle ci est très bien menée et le fait que les deux amants soient dans deux camps différents rend l'ensemble beau et poignant. Cameron n'en fait pas des couches en n'abusant pas du romantisme à l'eau de rose, c'est une romance normale mais abordé avec une évolution réaliste qui sonne très juste c'est très appréciable [spoiler].Pour les autres personnages ont à aussi le professeur Grace Augustine, un personnage utile par son caractère scientifique et très diplomatique, c'est elle qui incarne la voix de la raison, sa détermination est remarquable. Puis on a aussi d'autres personnages comme Norman le pote de Jake et Trudi la pilote qui même sans apporter beaucoup à l'intrigue ne sont pas négligés et trouvent leur moment pour briller dans le récit. Le jeu d'acteur est de grande qualité aussi, Sam Worthington, Zoé Saldana, Sigourney Weaver et Stephen Lang sont au top, ils prennent leur personnage très au sérieux, on ressent bien leur implication. Pour les version, VO/VF les 2 se valent selon moi donc à vous de choisir laquelle vous préférez.Niveau scènes d'action on est servi, encore et encore, limite gavé mais on en redemande tellement on est pas rassasiés, tellement c'est spectaculaires, que ce soient les scènes de vole, les batailles terrestres ou aériennes, ça explose de tous les côté, l'ensemble avec une tension émotionnelle inouïe. Pour le coup ça n'a rien à envier à un opus de la saga Transformers, Cameron a montrer qu'il n'y a pas besoin de s'appeler Michael Bay pour ça.^^Le film est très long, 2h40 à vu d'oeil on se dit qu'on va pas échapper à quelques moments d'ennui mais non même pas, je vous assure qu'une fois que vous êtes dedans vous voyez pas le temps passer tellement vous serez occupé à savourer la moindre richesse de ce film et une fois le générique arrivé, on a plus envie de repartir de la planète Pandora. Mais pour pouvoir y retourner...va falloir attendre 2017, ça va être long ! Voilà, bon en conclusion, Avatar c'est un film à voir absolument si vous ne l'avez pas encore vu, son succès est tout à fais justifié selon moi. Un incontournable ! Un très grand moment de cinéma ! 20/20";28/03/2016;https://www.allocine;61282;Comédie, Drame
id4;5;"Critique rédigée en Décembre 2009. Réactualisée en Décembre 2022.11 ans après l'excellent ""Titanic"" James Cameron revenait enfin aux affaires avec cet ambitieux projet nommé ""Avatar"" et nous embarquait dans un monde visuellement somptueux, complexe et fascinant.Le réalisateur canadien nous en mettais une nouvelle fois plein la vue pendant plus de 2h30 qui passent à une allure folle et portée par des acteurs charismatiques et une BO grandiose (merci James Horner). Sans oublier un scénario certes, peu novateur mais d'une actualité de plus en plus criante plus de 10 ans plus tard. Et oui, prenez soin de l'environnement c'est pourtant pas compliqué à comprendre ! Bref, Un vrai regal pour les yeux et les oreilles ! Une œuvre puissante et spectaculaire quoi qu'en disent les détracteurs.Frissonnant !";14/12/2022;https://www.allocine;61282;Comédie, Drame
id5;5;Vingt-cinq ans après Terminator, le réalisateur propose un voyage décidément immersif dans un monde luxuriant et riche. Si on est instantanément propulsé dans le monde exotique de Pandora, on n'hésite pas à prendre le temps d'apprendre à connaître son peuple en profondeur et en douceur. Ses coutumes, qui ressassent, tous les clichés tribaux, sont présentées au fur et à mesure que Jake découvre les Na'vi. Il est d'abord bien trop simpliste que, pour quitter le corps Na'Vi qu'on contrôle, il suffisse de s'endormir, et pour en reprendre possession de le souhaiter mentalement. Cela donne plus de latitude scénaristique. D'autant que le scénario est tellement rigoureusement justifié. Au fur et à mesure que la mythologie des Na'Vi se précise, on devine facilement comment tout va se terminer. Philosophiquement, Avatar ne signifie rien. Car il faut admettre que l'expérience est fascinante, et que le combat final, qui doit bien durer plus de 30 minutes, est palpitant et effréné. On ne nie pas que l'aspect divertissement soit comblé, mais il n'y a pas que ça, au cinéma ... Les sens sont bien sûr stimulés par les effets spéciaux, qui sont certainement les plus réussis de l'année, et qui repoussent les limites établies. Mais les promesses narratives d'Avatar ne sont jamais à la hauteur de son potentiel visuel, et le film demeure un travail d'artisans talentueux plutôt que celui d'artistes. Un magnifique travail bien accompli, qui répond aux attentes. Avatar serait-il le Star Wars de cette génération ? C'est possible. Affaire à suivre..;07/06/2014;https://www.allocine;61282;Comédie, Drame
id6;5;Avatar est avant tout une claque visuelle,les effets spéciaux y sont impressionnants.Le scénario,lui,est banal et pas super original mais il reste bon.Les acteurs principaux sont vraiment excellents !Certaines scènes valent vraiment le coup,surtout la grosse bataille finale qui est géniale et bien filmée.La musique de James Horner est très bonne et reste dans la tête.Un film à voir absolument ! 2h40 de pur cinéma !;15/07/2012;https://www.allocine;61282;Comédie, Drame
id7;4,5;"Avatar était annoncé comme le chef d'oeuvre ultime de la Science-fiction et du Planet Opera. L'est-il au final? Eh bien... voyons l'histoire. En 2154, La Terre est devenue quasie-inhabitable tant elle fut polluée, et les humains sont en train de coloniser une planète appelée Pandora. Dans cette planète se trouve un minerai qui pourrait résoudre la crise énergétique qui ravage la Terre. Mais cette planète est peuplée par d'espèces d'immenses êtres humanoïdes bleu de trois mètres de haut appelés les Na'vis. Peuple farouche sauvage et xénophobe, ils refusent pour la plupart tout contact avec les humains. Pour pallier à cela, les humains entament le programme Avatar: l'esprit de certains humains sont envoyés dans des corps conçus pour eux appelés des Avatars, qui sont semblables aux Na'vis, et qui leurs permettent de communiquer avec eux. L'histoire se concentre sur l'un de ces Avatars, Jake Sully, marine paraplégique, qui va peu à peu s'intégrer aux Na'vis, 
spoiler: 
jusqu'à prendre parti pour eux
. Comme vous avez pu le constater, le scénario est déjà vu, revu et rerevu. Honnêtement, dans Pocahontas, il y a la même chose, dans Danse avec les Loups, il y a la même chose!!! C'est la raison pour laquelle je ne peux pas considérer ce film comme un chef d'oeuvre. Je vais sans doute me faire des ennemis, mais je ne considère pas ce film comme un chef d'oeuvre, principalement à cause de son scénario, qui a déjà été exploité des milliers de fois. Mais les personnages aussi ne sont pas terribles. Jake Sully est pas mal, mais pas extraordinaire non plus, la scientifique écologiste fait un peu trop... scientifique écologiste, la princesse Na'vi, c'est Pocahontas en bleu, et le reste des personnages, sauf quelques uns sont oubliables. Ajoutez à ceci un Deus ex Machina sortant de nulle part 
spoiler: 
comme Toruk Makto ou les animaux qui arrivent à la fin de la bataille
, et un message écologiquement correct assourdissant (si les films pouvaient hurler, je pense que celui-ci hurlerai: CESSEZ DE POLLUER ET RESPECTEZ LES INDIENS MÊME S'ILS SONT BLEUS!!!!!!!!!), et vous pourriez en déduire que je n'aime pas ce film... et vous vous tromperiez. J'aime ce film pour des qualités qui contrebalancent ses défauts. D'abord, tous les personnages ne sont pas chiants: J'aime bien le colonel style Rambo, gros dur qui veut tout casser, mais reste un habile tacticien et stratège. J'aime bien le prince de la tribu Na'vi, pour sa xénophobie aiguë, 
spoiler: 
mais en même temps sa loyauté envers ""Toruk Makto"" 
. Et Je trouve le businessman joué par Giovanni Ribisi juste GENIAL!!! Il est tellement cynique et prêt à sacrifier la vie de milliers d'êtres vivants et intelligents juste pour augmenter son chiffre d'affaire... c'est caricatural, mais j'aime beaucoup çà. Je trouve énorme la scène ou le docteur Grace lui explique que la nature est vivante grâce à Eywa, et que donc il ne faut pas détruire les arbres et lui répond ""Vous rigolez! Ce ne sont que des arbres!"". Et en parlant d'Eywa, j'aime bien ce concept panthéiste d'une divinité qui ne ferait qu'un avec la nature (bien que je ne sois pas panthéiste), c'est assez bien fait et donne une espèce de transcendance au film. Mais bien sur, le gros point fort du film, c'est tout ce qui est visuel. Chaque plan semble encore plus magnifique que le précédent. Pandora est superbe, la culture Na'vi est plutôt pas mal... et il y a d'incroyables scènes d'action, notamment à la fin, avec une bataille aérienne des plus impressionnantes. Pour conclure, je ne trouve pas que ce film soit un chef d'oeuvre, son scénario est trop banal et la plupart de ses personnages trop oubliables... mais le film se rattrape avec des scènes d'action dantesques, des visuels à vous laisser la bouche ouverte pendant deux heures, et un rythme prenant. Par conséquent, Avatar de James Cameron est un film superbe, un peu surestimé, mais assez impressionnant pour me donner envie d'aller voir la suite, qui j'espère, aura un meilleur scénario.";03/11/2016;https://www.allocine;61282;Comédie, Drame
id8;5;Sans doute le plus beau et le plus inventif film de science fiction jamais réalisé. Le génial James Cameron habitué des chefs d’oeuvre signe là son oeuvre la plus remarquable tant techniquement que visuellement. Une création d’un univers sublime avec des images d’une beauté à couper le souffle,  une histoire qui melange  action, romantisme, romance et message humaniste et écologique.  Des acteurs malgré leur habillage technique au top niveau et au talent éclatant. On a au final l’oeuvre, un objet unique, un pur diamant de plaisir et d’émerveillement.;25/06/2015;https://www.allocine;61282;Comédie, Drame
id9;5;Un film extraordinaire !L'histoire est vraiment très bien pensée et l’univers de science fiction est juste génial !Sam Worthington est très convaincant et Zoe Saldana est très satisfaisante !Sigourney Weaver et Stephen Lang sont très bons et tous les autres acteurs sont très corrects !Les Na'vi sont attachants et absolument très bien élaborés, chaque créature est convaincante et vraiment très bien conçue !Les images sont absolument magnifiques avec des couleurs d’une grande beauté et les effets spéciaux sont vraiment grandioses !La 3D est superbe et les décors sont absolument sublimes !Les paysages sont vraiment splendides et les lieux rencontrés sont très appréciables et absolument très bien réalisés, la planète Pandora est tout simplement très inventive et vraiment fabuleuse !Les costumes sont formidables et certains acteurs sont absolument très bien maquillés ! Les objets et équipements sont super et les véhicules sont très réussis !L’ambiance est très plaisante et les musiques sont très bien composées !Les scènes d'action sont vraiment très spectaculaires, on en prend plein les yeux comme pour l'incroyable final et il y a de l'émotion !On est vite touché par les agréables Na’vi et la morale écologique est absolument très bonne !Les rebondissements sont très efficaces et l'aventure est vraiment entraînante !Un film qui est donc un pur chef-d'oeuvre marquant avec des personnages sympathiques dans un environnement absolument époustouflant et vraiment très créatif, accompagné d’un esthétisme fantastique et c’est en plus un long métrage révolutionnaire de l’immersive technologie 3D pour le cinéma !Un immense bravo à l’emblématique James Cameron qui est décidément très talentueux !;29/11/2020;https://www.allocine;61282;Comédie, Drame
id10;4;""" Avatar "" très bon blockbuster signer James Cameron ( réalisateur des cultissime "" Terminator "" , "" Terminator 2 "" , "" Aliens le retour "" , "" Abyss ""  , "" True Lies ""  encore du mythique "" Titanic "" ). C'est l’histoire dans le futur de Jake Sully ( Sam Worthington ) un marine qui se rend grâce à un vaisseau spatiale à des années lumière de la terre avec d'autres marines sur la planète Pandora . La bas les terriens baser dans une colonie tente de récupérer un minerai qui leur rapporterai une grande fortune de retour sur terre . Mais ils ont un gros problème . Le minerai est situé sous un gigantesque arbre ou vive  les habitants de la planète nommer les naviis . Le colonel ( Stephen Lang ) charge Jake Sully de s'infiltrer auprès des naviis pour gagner leur confiance et les faire bouger en douceur  a un autre endroit afin de récupérer le fameux minerai . Jake Sully doit s'infiltrer chez les naviis  grâce à un avatar  . Un avatar  est un corps contrôler à distance  ressemblant au naviis . Si Jake ne réussi pas sa mission le colonel emploira alors la manière forte pour les déloger  . Un geste qui pourrait conduire a une guerre entre les humains et les naviis ... On ne présente plus  "" Avatar ""  qui est devenu en 2009 le plus grand succès de toute l'histoire du cinéma  . Le réalisateur James Cameron a réussit  l'exploit avec "" Avatar ""  de battre son propre record en délogeant de la première place du box office mondial son propre chef d'œuvre "" Titanic "" qui était accrocher à la première place depuis plus de 10 ans . "" Avatar ""  rapporta plus de 2,7 milliards de dollars de recette dans le monde un record absolu . En france le film a été également un énorme carton avec près de 15 millions d'entrées même si il n'atteint pas les 20 millions d’entrées de "" Titanic ""  .  Un record pour un film de science fiction . James Cameron  nous embarque avec son film dans un univers absolument magnifique . Une magnifique planète remplit d'une faune et d'une flore riche et splendide . Un univers vraiment inventif .  Des effets spéciaux absolument hallucinants ( les meilleurs à ce jour ) qui donne vie a toute cette faune et cette flore  a telle point que tout a l'air réel . On a vraiment l'impression que la planète Pandora et ses habitants existe quelque part dans l'espace . Rarement des effets spéciaux n'avait fait cette effet la et surclasse tout les effets numériques des blockbuster de ses 30 dernières années ( "" Jurassic Park ""  , "" Star Wars ""  , "" Terminator 2 "" , "" Le seigneur des anneaux "" et autres "" Matrix ""  ) . James Cameron a mis la barre très haut . La 3D du film est également hallucinante ( la meilleur à ce jour )  et totalement immersive . Elle nous donne l'impression d'être sur la planète Pandora au coté des personnages . C'est vraiment super jouissif de s'évader pendant plus de deux heures dans cette univers merveilleux .  Ce film nous raconte une bonne histoire même si sa ne fait pas dans l'originalité car c'est inspiré de certaines histoires classiques et très connu comme "" Danse avec les loups "" ou "" Pocahontas ""  . L'histoire à défaut d'être originale s'avère très efficace avec donc un groupe de terriens qui va coloniser une planête extraterrestre pour récuperer un minerai très précieux mais qui va être confronter aux habitants de la planête et sa va être explosif  donnant lieu au passage à des séquences d’actions hallucinantes doter d’une grande tension et d’un grand suspense .  L'originalité du film vient  surtout du fait d'avoir transposé ce genre d'histoire sur une planète inconnu dans l'espace et que sa nous montre pour la première fois des terriens qui deviennent des envahisseurs en asservissant une planète extraterrestre pour voler un minerai rare ( alors que la plupart des films montre la Terre se faire envahir par un peuple extraterrestre a l'image de "" Indépendance Day "" ou "" La guerre des mondes "" )  . Le film est porter par une belle brochette d’acteurs avec à sa tête l’acteur  Sam Worthington qui joue très bien le rôle de Jake Sully ce marine qui va être charger d’infiltrer les Naviis pour les faire bouger à un autre endroit afin de récupérer leurs minerai précieux . Une mission pas facile qui va totalement bouleverser sa vie . Il va faire la rencontre d’une Naviis nommer Neytiri très bien interpréter par l’actrice Zoé Saldana  . Sans oublier l’actrice  Sigourney Weaver qui interprète une scientifique qui tente de nouer le contact et des liens d’amitié avec les Naviis . On regrette quelques personnages un peu caricaturaux comme le colonel qui va charger Jake Sully de sa mission bien interpréter malgré tout par l’acteur Stephen Lang . Un film remplit de moments magiques et merveilleux ( la découverte de la planète avec sa superbe faune et flore ) et de superbes scènes d'actions spectaculaires et halucinantes comme seul James Cameron sait les faire
spoiler: 
 ( Jake Sully qui se fait poursuivre par la bestiole géante , l'attaque de l'arbre maison , le combat final entre les humains et les Naviis ... )
  . Je suis un peu déçu par la musique de James Horner sur ce film . "" Titanic "" le précédent film de James Cameron avait une bande originale incroyable alors que la c'est beaucoup moins mémorable  . Il y a tout de mêmes quelques beau morceaux de musique qui colle très bien a l'ambiance du film et à l’univers  de Pandora  . Pour résumer "" Avatar "" est un superbe blockbusters très divertissant et merveilleux qui nous évade totalement . Un blockbusters qui a vraiment marquer son époque nottament grâce a ses effets spéciaux époustouflant totalement révolutionnaire et sa 3D hallucinante qui donne vie a un univers unique et riche comme l'avait fait ” Jurassic Park ” , "" Matrix "" ou "" Star Wars "" en leur temps . Ce film est le point de départ de la saga "" Avatar "" avec 4 nouveaux films en préparation ( Avatar 2 , 3 , 4 et 5 ) dont le premier sortira en 2021 . 
spoiler: 
La fin du film nous laisse sur une victoire des navis qui ont chasser les terriens de leur planète . Ils ont gagner une bataille mais pas la guerre à mon avis . quelque  chose me dit que les terriens ne laisseront pas tomber si facilement les richesses de Pandora qu'ils convoitent tant et dont ils ont tant besoin  et qu'ils reviendront donc très vite à la charge et encore plus nombreux ce coup ci

 .On attend donc la suite avec grand impatience prévu pour 2021.";09/05/2019;https://www.allocine;61282;Comédie, Drame
