ID Utilisateur;Note;Commentaire;Date de publication;URL de la critique;Numro du film;Genre;proba_nega;proba_neutre;proba_positif
id1;4;Pas trop friand de ce genre de film vu en famille, j'avoue avoir beaucoup aim cette histoire assez touchante ! On volue dans un monde extraordinaire et on se laisse prendre sans en perdre une miette... Et au final, un film o on ne voit pas le temps passer !;10/01/2010;https://www.allocine;61282;Comdie, Drame;0.07224041223526001;0.7189803719520569;0.2087792307138443
id2;5;Avatar est une vraie rvolution ! Le film de James Cameron fait rentrer le cinma dans une nouvelle re, autant que Le chanteur de Jazz l'avait t en 1927 avec l'arrive du son. Le film est  voir absolument, mme pour ceux qui ne sont pas amateurs de ce genre de film. Visuellement c'est magnifique et les effets spciaux sont  couper le souffle. En plus de a, le film fait passer un beau message. Bravo  James Cameron et  son quipe qui ont su crer un tout nouveau monde.;12/03/2013;https://www.allocine;61282;Comdie, Drame;0.03267545998096466;0.5614377856254578;0.40588679909706116
id3;5;"Avatar...comment parler de ce film tout en restant calme ??! Bluffant, poustouflant, magnifique, pique, incroyable...!! Tant de mots  la fois pour dsigner ce film, indniablement la 8me merveille du monde, un diamant brute, un monument du 7me art du 21me sicle ! Lorsque je l'ai dcouvert au cinma  sa sortie en 2009, le film m'a littralement scotch sur mon sige tant le spectacle tait magnifique  tous les niveaux. Depuis je me suis procur le DVD et revu plusieurs fois et pourtant chaque visionnage est une vraie redcouverte et me renvoi la mme claque, toujours avec la mme profondeur motionnelle. Je sais mme pas par quoi commenc tant il y a de choses  dire sur le film et ses richesses cinmatographiques. ^^Bon, on va procder dans l'ordre, dj l'histoire, Avatar de James Cameron, c'est l'histoire de Jake Sully, un ancien marine ayant perdu ses jambes  l'arme qui se retrouve mute sur la plante Pandora pour contribuer au projet ""Avatar""  la place de son frre dcd. Cette mission militaire  pour objectif de coloniser les richesses et les matriaux rares de ce nouveau monde, cependant cette plante est habite par les Na'vi, les tres vivants de Pandora qui nourrissent une haine ancestrale pour ces ""colonisateurs"". Ainsi Jake prend part au projet qui consistent  transfrer des esprits humains dans des clones fabriqus biologiquement sur le modle des Na'vi, les Avatar dans le but d'approcher ses cratures jusqu'au jour ou il tombe sur la belle Neytiri qui le sauve. En restant  ses cts, Jake va alors apprendre que les intentions des siens sont pas uniquement tournes vers la science...voil pour le pitch de dpart. Dj rien que l'ide de base de ce film est super et relve quasiment du gnie tant c'est inventif ! On part sur un film qui aborde l'univers de l'arme mix  de la science fiction en abordant le thme des guerres de conqutes. Un scnario qui explicitement n'est pas sans nous rappeler l'histoire des colonisateurs du nouveau monde avec la dcouverte de l'Amrique et le peuple des Amrindiens, d'ou un air de ressemblance avec une certaine Pocahontas de Disney. En fait c'est mme totalement a, on a ici affaire  une rcriture moderne de l'histoire de la colonisation et a c'est une super ide, qui plus est Cameron y rajoute de la SF digne des plus grands film du genre. Avec du recule on peut l'affirmer, les effets spciaux et la matrise des outils informatiques dans ce film pour l'poque sont juste hallucinant et tmoignent directement du progrs des avances technologiques. Plus important encore et plus incroyable que l'intrigue, si ce film mrite d'tre qualifi de chef d'oeuvre selon moi c'est parce que l'auteur  russi  crer tout un univers, pice par pice sans oublier le moindre dtail que ce soit la faune, la flore, les cosystmes, mais aussi le peuple qui le compose: Les Na'vi, ces tre extraterrestres/humanodes beaucoup plus grand que les tres humains avec leurs pratiques, leurs propres valeurs et leurs croyances. Cameron est un vrai gnie pour avoir pens  tout a ! Qui plus est si la comparaison avec la colonisation et les Indiens d'Amrique est trs rcurrente a n'est pas un hasard car les Na'vi ressemblent beaucoup aux indiens, ils ne portent qu'un minimum de vtements, se battent avec des lances, des arcs et des flches, domptent la nature et vnrent un dieu, tout a loin de la technologie des hommes. On pourrai y voir une sorte de rejet de leur part du progrs des hommes et via la comparaison entre ces modes de vie une certaine critique de la technologie qui n'amne que malheur et destruction  la nature. Oui c'est vrai on  le droit  une bonne leon d'cologie mais qui ici prend tous son sens et nous permet de nous rendre compte nous mme des dgts que nous faisons  notre monde. Niveau visuel....c'est juste awesmome, wonderful ! les paysages de Pandora sont un vrai rgal visuel ! riches en couleurs et aux dcors exotiques multiples (la jungle, les montagnes ariennes, les cascades...) l aussi J.Cameron  ne fait pas dans la demi mesure en donnant de l'importance  chaque dtail de son univers si insignifiant puisse t-il paratre en dveloppant en plus des Na'vi de multiples espces animales et vgtales qui rendent ""l'exploration"" parfume d'aventure absolument passionnante. On prend un rel plaisir devant chaque plan, on dguste sans en perdre une miette. Niveau personnage, ils sont trs bien dvelopps et tous apportent quelque chose au rcit. Jake le hros est intriguant, il suscite notre attention de part son vcu de combattant et c'est avec ses yeux qu'on dcouvre l'univers de Pandora. Neytiri, l'hrone, un peu pareil, elle est essentielle dans l'apprentissage de Jake, c'est elle qui nous apprend les coutumes des Na'vi et leur mode de vie. Bien sur on aura encore affaire  [spoiler] une romance entre elle et Jake mais celle ci est trs bien mene et le fait que les deux amants soient dans deux camps diffrents rend l'ensemble beau et poignant. Cameron n'en fait pas des couches en n'abusant pas du romantisme  l'eau de rose, c'est une romance normale mais abord avec une volution raliste qui sonne trs juste c'est trs apprciable [spoiler].Pour les autres personnages ont  aussi le professeur Grace Augustine, un personnage utile par son caractre scientifique et trs diplomatique, c'est elle qui incarne la voix de la raison, sa dtermination est remarquable. Puis on a aussi d'autres personnages comme Norman le pote de Jake et Trudi la pilote qui mme sans apporter beaucoup  l'intrigue ne sont pas ngligs et trouvent leur moment pour briller dans le rcit. Le jeu d'acteur est de grande qualit aussi, Sam Worthington, Zo Saldana, Sigourney Weaver et Stephen Lang sont au top, ils prennent leur personnage trs au srieux, on ressent bien leur implication. Pour les version, VO/VF les 2 se valent selon moi donc  vous de choisir laquelle vous prfrez.Niveau scnes d'action on est servi, encore et encore, limite gav mais on en redemande tellement on est pas rassasis, tellement c'est spectaculaires, que ce soient les scnes de vole, les batailles terrestres ou ariennes, a explose de tous les ct, l'ensemble avec une tension motionnelle inoue. Pour le coup a n'a rien  envier  un opus de la saga Transformers, Cameron a montrer qu'il n'y a pas besoin de s'appeler Michael Bay pour a.^^Le film est trs long, 2h40  vu d'oeil on se dit qu'on va pas chapper  quelques moments d'ennui mais non mme pas, je vous assure qu'une fois que vous tes dedans vous voyez pas le temps passer tellement vous serez occup  savourer la moindre richesse de ce film et une fois le gnrique arriv, on a plus envie de repartir de la plante Pandora. Mais pour pouvoir y retourner...va falloir attendre 2017, a va tre long ! Voil, bon en conclusion, Avatar c'est un film  voir absolument si vous ne l'avez pas encore vu, son succs est tout  fais justifi selon moi. Un incontournable ! Un trs grand moment de cinma ! 20/20";28/03/2016;https://www.allocine;61282;Comdie, Drame;0.11520490050315857;0.7317048907279968;0.153090238571167
id4;5;"Critique rdige en Dcembre 2009. Ractualise en Dcembre 2022.11 ans aprs l'excellent ""Titanic"" James Cameron revenait enfin aux affaires avec cet ambitieux projet nomm ""Avatar"" et nous embarquait dans un monde visuellement somptueux, complexe et fascinant.Le ralisateur canadien nous en mettais une nouvelle fois plein la vue pendant plus de 2h30 qui passent  une allure folle et porte par des acteurs charismatiques et une BO grandiose (merci James Horner). Sans oublier un scnario certes, peu novateur mais d'une actualit de plus en plus criante plus de 10 ans plus tard. Et oui, prenez soin de l'environnement c'est pourtant pas compliqu  comprendre ! Bref, Un vrai regal pour les yeux et les oreilles ! Une uvre puissante et spectaculaire quoi qu'en disent les dtracteurs.Frissonnant !";14/12/2022;https://www.allocine;61282;Comdie, Drame;0.03165008872747421;0.6558920741081238;0.3124578297138214
id5;5;Vingt-cinq ans aprs Terminator, le ralisateur propose un voyage dcidment immersif dans un monde luxuriant et riche. Si on est instantanment propuls dans le monde exotique de Pandora, on n'hsite pas  prendre le temps d'apprendre  connatre son peuple en profondeur et en douceur. Ses coutumes, qui ressassent, tous les clichs tribaux, sont prsentes au fur et  mesure que Jake dcouvre les Na'vi. Il est d'abord bien trop simpliste que, pour quitter le corps Na'Vi qu'on contrle, il suffisse de s'endormir, et pour en reprendre possession de le souhaiter mentalement. Cela donne plus de latitude scnaristique. D'autant que le scnario est tellement rigoureusement justifi. Au fur et  mesure que la mythologie des Na'Vi se prcise, on devine facilement comment tout va se terminer. Philosophiquement, Avatar ne signifie rien. Car il faut admettre que l'exprience est fascinante, et que le combat final, qui doit bien durer plus de 30 minutes, est palpitant et effrn. On ne nie pas que l'aspect divertissement soit combl, mais il n'y a pas que a, au cinma ... Les sens sont bien sr stimuls par les effets spciaux, qui sont certainement les plus russis de l'anne, et qui repoussent les limites tablies. Mais les promesses narratives d'Avatar ne sont jamais  la hauteur de son potentiel visuel, et le film demeure un travail d'artisans talentueux plutt que celui d'artistes. Un magnifique travail bien accompli, qui rpond aux attentes. Avatar serait-il le Star Wars de cette gnration ? C'est possible. Affaire  suivre..;07/06/2014;https://www.allocine;61282;Comdie, Drame;0.10109227150678635;0.7743645310401917;0.1245432198047638
id6;5;Avatar est avant tout une claque visuelle,les effets spciaux y sont impressionnants.Le scnario,lui,est banal et pas super original mais il reste bon.Les acteurs principaux sont vraiment excellents !Certaines scnes valent vraiment le coup,surtout la grosse bataille finale qui est gniale et bien filme.La musique de James Horner est trs bonne et reste dans la tte.Un film  voir absolument ! 2h40 de pur cinma !;15/07/2012;https://www.allocine;61282;Comdie, Drame;0.033400263637304306;0.6760297417640686;0.2905699610710144
id7;4,5;"Avatar tait annonc comme le chef d'oeuvre ultime de la Science-fiction et du Planet Opera. L'est-il au final? Eh bien... voyons l'histoire. En 2154, La Terre est devenue quasie-inhabitable tant elle fut pollue, et les humains sont en train de coloniser une plante appele Pandora. Dans cette plante se trouve un minerai qui pourrait rsoudre la crise nergtique qui ravage la Terre. Mais cette plante est peuple par d'espces d'immenses tres humanodes bleu de trois mtres de haut appels les Na'vis. Peuple farouche sauvage et xnophobe, ils refusent pour la plupart tout contact avec les humains. Pour pallier  cela, les humains entament le programme Avatar: l'esprit de certains humains sont envoys dans des corps conus pour eux appels des Avatars, qui sont semblables aux Na'vis, et qui leurs permettent de communiquer avec eux. L'histoire se concentre sur l'un de ces Avatars, Jake Sully, marine paraplgique, qui va peu  peu s'intgrer aux Na'vis, 
spoiler: 
jusqu' prendre parti pour eux
. Comme vous avez pu le constater, le scnario est dj vu, revu et rerevu. Honntement, dans Pocahontas, il y a la mme chose, dans Danse avec les Loups, il y a la mme chose!!! C'est la raison pour laquelle je ne peux pas considrer ce film comme un chef d'oeuvre. Je vais sans doute me faire des ennemis, mais je ne considre pas ce film comme un chef d'oeuvre, principalement  cause de son scnario, qui a dj t exploit des milliers de fois. Mais les personnages aussi ne sont pas terribles. Jake Sully est pas mal, mais pas extraordinaire non plus, la scientifique cologiste fait un peu trop... scientifique cologiste, la princesse Na'vi, c'est Pocahontas en bleu, et le reste des personnages, sauf quelques uns sont oubliables. Ajoutez  ceci un Deus ex Machina sortant de nulle part 
spoiler: 
comme Toruk Makto ou les animaux qui arrivent  la fin de la bataille
, et un message cologiquement correct assourdissant (si les films pouvaient hurler, je pense que celui-ci hurlerai: CESSEZ DE POLLUER ET RESPECTEZ LES INDIENS MME S'ILS SONT BLEUS!!!!!!!!!), et vous pourriez en dduire que je n'aime pas ce film... et vous vous tromperiez. J'aime ce film pour des qualits qui contrebalancent ses dfauts. D'abord, tous les personnages ne sont pas chiants: J'aime bien le colonel style Rambo, gros dur qui veut tout casser, mais reste un habile tacticien et stratge. J'aime bien le prince de la tribu Na'vi, pour sa xnophobie aigu, 
spoiler: 
mais en mme temps sa loyaut envers ""Toruk Makto"" 
. Et Je trouve le businessman jou par Giovanni Ribisi juste GENIAL!!! Il est tellement cynique et prt  sacrifier la vie de milliers d'tres vivants et intelligents juste pour augmenter son chiffre d'affaire... c'est caricatural, mais j'aime beaucoup . Je trouve norme la scne ou le docteur Grace lui explique que la nature est vivante grce  Eywa, et que donc il ne faut pas dtruire les arbres et lui rpond ""Vous rigolez! Ce ne sont que des arbres!"". Et en parlant d'Eywa, j'aime bien ce concept panthiste d'une divinit qui ne ferait qu'un avec la nature (bien que je ne sois pas panthiste), c'est assez bien fait et donne une espce de transcendance au film. Mais bien sur, le gros point fort du film, c'est tout ce qui est visuel. Chaque plan semble encore plus magnifique que le prcdent. Pandora est superbe, la culture Na'vi est plutt pas mal... et il y a d'incroyables scnes d'action, notamment  la fin, avec une bataille arienne des plus impressionnantes. Pour conclure, je ne trouve pas que ce film soit un chef d'oeuvre, son scnario est trop banal et la plupart de ses personnages trop oubliables... mais le film se rattrape avec des scnes d'action dantesques, des visuels  vous laisser la bouche ouverte pendant deux heures, et un rythme prenant. Par consquent, Avatar de James Cameron est un film superbe, un peu surestim, mais assez impressionnant pour me donner envie d'aller voir la suite, qui j'espre, aura un meilleur scnario.";03/11/2016;https://www.allocine;61282;Comdie, Drame;0.07168678939342499;0.8565331101417542;0.07178007066249847
id8;5;Sans doute le plus beau et le plus inventif film de science fiction jamais ralis. Le gnial James Cameron habitu des chefs doeuvre signe l son oeuvre la plus remarquable tant techniquement que visuellement. Une cration dun univers sublime avec des images dune beaut  couper le souffle,  une histoire qui melange  action, romantisme, romance et message humaniste et cologique.  Des acteurs malgr leur habillage technique au top niveau et au talent clatant. On a au final loeuvre, un objet unique, un pur diamant de plaisir et dmerveillement.;25/06/2015;https://www.allocine;61282;Comdie, Drame;0.05578749254345894;0.8050874471664429;0.1391250044107437
id9;5;Un film extraordinaire !L'histoire est vraiment trs bien pense et lunivers de science fiction est juste gnial !Sam Worthington est trs convaincant et Zoe Saldana est trs satisfaisante !Sigourney Weaver et Stephen Lang sont trs bons et tous les autres acteurs sont trs corrects !Les Na'vi sont attachants et absolument trs bien labors, chaque crature est convaincante et vraiment trs bien conue !Les images sont absolument magnifiques avec des couleurs dune grande beaut et les effets spciaux sont vraiment grandioses !La 3D est superbe et les dcors sont absolument sublimes !Les paysages sont vraiment splendides et les lieux rencontrs sont trs apprciables et absolument trs bien raliss, la plante Pandora est tout simplement trs inventive et vraiment fabuleuse !Les costumes sont formidables et certains acteurs sont absolument trs bien maquills ! Les objets et quipements sont super et les vhicules sont trs russis !Lambiance est trs plaisante et les musiques sont trs bien composes !Les scnes d'action sont vraiment trs spectaculaires, on en prend plein les yeux comme pour l'incroyable final et il y a de l'motion !On est vite touch par les agrables Navi et la morale cologique est absolument trs bonne !Les rebondissements sont trs efficaces et l'aventure est vraiment entranante !Un film qui est donc un pur chef-d'oeuvre marquant avec des personnages sympathiques dans un environnement absolument poustouflant et vraiment trs cratif, accompagn dun esthtisme fantastique et cest en plus un long mtrage rvolutionnaire de limmersive technologie 3D pour le cinma !Un immense bravo  lemblmatique James Cameron qui est dcidment trs talentueux !;29/11/2020;https://www.allocine;61282;Comdie, Drame;0.04755662381649017;0.7446507215499878;0.20779265463352203
id10;4;""" Avatar "" trs bon blockbuster signer James Cameron ( ralisateur des cultissime "" Terminator "" , "" Terminator 2 "" , "" Aliens le retour "" , "" Abyss ""  , "" True Lies ""  encore du mythique "" Titanic "" ). C'est lhistoire dans le futur de Jake Sully ( Sam Worthington ) un marine qui se rend grce  un vaisseau spatiale  des annes lumire de la terre avec d'autres marines sur la plante Pandora . La bas les terriens baser dans une colonie tente de rcuprer un minerai qui leur rapporterai une grande fortune de retour sur terre . Mais ils ont un gros problme . Le minerai est situ sous un gigantesque arbre ou vive  les habitants de la plante nommer les naviis . Le colonel ( Stephen Lang ) charge Jake Sully de s'infiltrer auprs des naviis pour gagner leur confiance et les faire bouger en douceur  a un autre endroit afin de rcuprer le fameux minerai . Jake Sully doit s'infiltrer chez les naviis  grce  un avatar  . Un avatar  est un corps contrler  distance  ressemblant au naviis . Si Jake ne russi pas sa mission le colonel emploira alors la manire forte pour les dloger  . Un geste qui pourrait conduire a une guerre entre les humains et les naviis ... On ne prsente plus  "" Avatar ""  qui est devenu en 2009 le plus grand succs de toute l'histoire du cinma  . Le ralisateur James Cameron a russit  l'exploit avec "" Avatar ""  de battre son propre record en dlogeant de la premire place du box office mondial son propre chef d'uvre "" Titanic "" qui tait accrocher  la premire place depuis plus de 10 ans . "" Avatar ""  rapporta plus de 2,7 milliards de dollars de recette dans le monde un record absolu . En france le film a t galement un norme carton avec prs de 15 millions d'entres mme si il n'atteint pas les 20 millions dentres de "" Titanic ""  .  Un record pour un film de science fiction . James Cameron  nous embarque avec son film dans un univers absolument magnifique . Une magnifique plante remplit d'une faune et d'une flore riche et splendide . Un univers vraiment inventif .  Des effets spciaux absolument hallucinants ( les meilleurs  ce jour ) qui donne vie a toute cette faune et cette flore  a telle point que tout a l'air rel . On a vraiment l'impression que la plante Pandora et ses habitants existe quelque part dans l'espace . Rarement des effets spciaux n'avait fait cette effet la et surclasse tout les effets numriques des blockbuster de ses 30 dernires annes ( "" Jurassic Park ""  , "" Star Wars ""  , "" Terminator 2 "" , "" Le seigneur des anneaux "" et autres "" Matrix ""  ) . James Cameron a mis la barre trs haut . La 3D du film est galement hallucinante ( la meilleur  ce jour )  et totalement immersive . Elle nous donne l'impression d'tre sur la plante Pandora au cot des personnages . C'est vraiment super jouissif de s'vader pendant plus de deux heures dans cette univers merveilleux .  Ce film nous raconte une bonne histoire mme si sa ne fait pas dans l'originalit car c'est inspir de certaines histoires classiques et trs connu comme "" Danse avec les loups "" ou "" Pocahontas ""  . L'histoire  dfaut d'tre originale s'avre trs efficace avec donc un groupe de terriens qui va coloniser une plante extraterrestre pour rcuperer un minerai trs prcieux mais qui va tre confronter aux habitants de la plante et sa va tre explosif  donnant lieu au passage  des squences dactions hallucinantes doter dune grande tension et dun grand suspense .  L'originalit du film vient  surtout du fait d'avoir transpos ce genre d'histoire sur une plante inconnu dans l'espace et que sa nous montre pour la premire fois des terriens qui deviennent des envahisseurs en asservissant une plante extraterrestre pour voler un minerai rare ( alors que la plupart des films montre la Terre se faire envahir par un peuple extraterrestre a l'image de "" Indpendance Day "" ou "" La guerre des mondes "" )  . Le film est porter par une belle brochette dacteurs avec  sa tte lacteur  Sam Worthington qui joue trs bien le rle de Jake Sully ce marine qui va tre charger dinfiltrer les Naviis pour les faire bouger  un autre endroit afin de rcuprer leurs minerai prcieux . Une mission pas facile qui va totalement bouleverser sa vie . Il va faire la rencontre dune Naviis nommer Neytiri trs bien interprter par lactrice Zo Saldana  . Sans oublier lactrice  Sigourney Weaver qui interprte une scientifique qui tente de nouer le contact et des liens damiti avec les Naviis . On regrette quelques personnages un peu caricaturaux comme le colonel qui va charger Jake Sully de sa mission bien interprter malgr tout par lacteur Stephen Lang . Un film remplit de moments magiques et merveilleux ( la dcouverte de la plante avec sa superbe faune et flore ) et de superbes scnes d'actions spectaculaires et halucinantes comme seul James Cameron sait les faire
spoiler: 
 ( Jake Sully qui se fait poursuivre par la bestiole gante , l'attaque de l'arbre maison , le combat final entre les humains et les Naviis ... )
  . Je suis un peu du par la musique de James Horner sur ce film . "" Titanic "" le prcdent film de James Cameron avait une bande originale incroyable alors que la c'est beaucoup moins mmorable  . Il y a tout de mmes quelques beau morceaux de musique qui colle trs bien a l'ambiance du film et  lunivers  de Pandora  . Pour rsumer "" Avatar "" est un superbe blockbusters trs divertissant et merveilleux qui nous vade totalement . Un blockbusters qui a vraiment marquer son poque nottament grce a ses effets spciaux poustouflant totalement rvolutionnaire et sa 3D hallucinante qui donne vie a un univers unique et riche comme l'avait fait  Jurassic Park  , "" Matrix "" ou "" Star Wars "" en leur temps . Ce film est le point de dpart de la saga "" Avatar "" avec 4 nouveaux films en prparation ( Avatar 2 , 3 , 4 et 5 ) dont le premier sortira en 2021 . 
spoiler: 
La fin du film nous laisse sur une victoire des navis qui ont chasser les terriens de leur plante . Ils ont gagner une bataille mais pas la guerre  mon avis . quelque  chose me dit que les terriens ne laisseront pas tomber si facilement les richesses de Pandora qu'ils convoitent tant et dont ils ont tant besoin  et qu'ils reviendront donc trs vite  la charge et encore plus nombreux ce coup ci

 .On attend donc la suite avec grand impatience prvu pour 2021.";09/05/2019;https://www.allocine;61282;Comdie, Drame;0.035494640469551086;0.8987278342247009;0.06577759236097336
